Dato,Qué es,Placeholder en el T&C,Columna en el Sheet,CO,MX,PE,AR,CL,EC,UY,CR,BR
Razón social de la entidad Rappi,Nombre legal completo de la sociedad Rappi en ese país.,{{ENTIDAD_LEGAL}},entidad_legal_nombre,Rappi S.A.S.,"Tecnologías Rappi, S.A.P.I. de C.V.",Rappi S.A.C.,RAPPI ARG S.A.S.,Rappi Chile SpA,RAPPIEC S.A.S.,Brisanier S.A.,"RAPI PURA VIDA, S.A.",RAPPI BRASIL INTERMEDIAÇÃO DE NEGÓCIOS LTDA
ID fiscal,Número de identificación tributaria (NIT / RFC / RUC / RUT / CNPJ según país).,{{ID_FISCAL}},id_fiscal,NIT 900.843.898-9,RFC TRA150604TW1,RUC 20602985971,CUIT 30-71580389-1,RUT 76.837.223-3,RUC 1793010105001,RUT 218175850017,RUT 3101768820,CNPJ 26.900.161/0001-25
Domicilio legal,Ciudad/domicilio de la entidad.,{{DOMICILIO_LEGAL}},domicilio_legal,Bogotá D.C.,Ciudad de México,Lima,Buenos Aires,Santiago,Quito,Montevideo,San José,São Paulo
Nombre legal del país,"Denominación oficial, redactada para insertar en frase.",{{PAIS_LEGAL}},legal_country,la República de Colombia,Estados Unidos Mexicanos,República del Perú,República de Argentina,República de Chile,República de Ecuador,República Oriental del Uruguay,la República de Costa Rica,República Federativa del Brasil
Ley aplicable,Redacción tipo 'las leyes de [país]'.,{{LEY_APLICABLE}},applicable_law,las leyes de la República de Colombia,las Leyes de los Estados Unidos Mexicanos,las Leyes de la República del Perú,las Leyes de la República de Argentina,las Leyes de la República de Chile,las Leyes de la República de Ecuador,las Leyes de la República Oriental del Uruguay,las Leyes de la República de Costa Rica,Leis da República Federativa do Brasil
Jurisdicción / solución de conflictos,Redacción tipo 'la justicia ordinaria de [país]'.,{{JURISDICCION}},jurisdiction_text,la justicia ordinaria de la República de Colombia,Tribunales de la jurisdicción de la Ciudad de México,Tribunales del Distrito Judicial del Cercado de Lima,Tribunales Ordinarios en lo Comercial de la Ciudad Autónoma de Buenos Aires.,Tribunales Ordinarios de Santiago,Tribunales del Distrito Metropolitano de Quito,Tribunales de la Jurisdicción Ordinaria de Montevideo,Tribunales Ordinarios de la Ciudad de San José de Costa Rica,Foro Central da comarca da cidade de São Paulo
Entidad de vigilancia del consumidor,"Autoridad de protección al consumidor (SIC, PROFECO, INDECOPI, SERNAC...).",{{ENTIDAD_VIGILANCIA}},legal_entity,la Superintendencia de Industria y Comercio (SIC),la Procuraduría Federal del Consumidor (PROFECO),el Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (INDECOPI),la Dirección Nacional de Defensa del Consumidor,el Servicio Nacional del Consumidor (SERNAC),la Defensoría del Pueblo,el Área de Defensa del Consumidor,"el Ministerio de Economía, Industria y Comercio (MEIC)",el PROCON y la Secretaría Nacional del Consumidor (SENACON)
Autoridad de protección de datos,Autoridad de datos personales del país.,{{AUTORIDAD_DATOS}},autoridad_datos,la Superintendencia de Industria y Comercio (SIC),"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI)",Autoridad Nacional de Protección de Datos Personales (ANPD),Agencia de Acceso a la Información Pública (AAIP),Agencia de Protección de Datos Personales,Superintendencia de Protección de Datos Personales (SPDP),Unidad Reguladora y de Control de Datos Personales (URCDP),Agencia de Protección de Datos de los Habitantes (PRODHAB),a Autoridade Nacional de Proteção de Dados (ANPD) (confirmar)
URL — Bases / T&C de plataforma,Enlace a los T&C de uso de la plataforma Rappi del país.,{{URL_BASES}},legal_url,https://legal.rappi.com/colombia/terminos-y-condiciones-de-uso-de-plataforma-rappi-2/,https://legal.rappi.com/mexico/terminos-y-condiciones-de-uso-de-plataforma-rappi-3/?_ga=2.233395806.1535468995.1751574748-1030705670.1749150746&_gl=1*1bqnxog*_gcl_au*MTY4MTUxOTc2MC4xNzQ5MTUwNzQ2*_ga*MTAzMDcwNTY3MC4xNzQ5MTUwNzQ2*_ga_FGJHX7E4KW*czE3NTE1NzQ3NDckbzIkZzAkdDE3NTE1NzQ3NTEkajU2JGwwJGgw,https://legal.rappi.com.co/peru/terminos-y-condiciones-rappi/,https://legal.rappi.com.co/argentina/terminos-y-condiciones-rappi-2/,https://legal.rappi.com/chile/terminos-y-condiciones-consumidores-rappi/?_gl=1*sna4r3*_gcl_aw*R0NMLjE3NzA2NDI5MDEuQ2p3S0NBaUFxS2JNQmhCbUVpd0FaM1Vib0YyNHdST3lmUEp3aTIybzlRWU1RSHl3elJsMHpRY3FESzNMV0N6RThjVmxhRGdWU0lwaFBob0NZNk1RQXZEX0J3RQ..*_gcl_au*MTk2OTE1NDYxMy4xNzY5NDU5ODk1*_ga*NjU4NDY2MDU3LjE3Njk0NTk4OTU.*_ga_FGJHX7E4KW*czE3NzA2NDI5MDAkbzQkZzEkdDE3NzA2NDI5MjIkajM4JGwwJGgw&_ga=2.225171610.1455052518.1770642900-658466057.1769459895&_gac=1.83517924.1770642900.CjwKCAiAqKbMBhBmEiwAZ3UboF24wROyfPJwi22o9QYMQHywzRl0zQcqDK3LWCzE8cVlaDgVSIphPhoCY6MQAvD_BwE,https://legal.rappi.com.co/ecuador/terminos-y-condiciones-ecuador/,https://legal.rappi.com.co/uruguay/terminos-y-condiciones-de-uso-de-plataforma-rappi/,https://legal.rappi.com.co/costa-rica/terminos-y-condiciones-rappi-3/,https://legal.rappi.com.co/brazil/termos-e-condicoes-de-uso-da-plataforma-rappi/
URL — T&C de plataforma (subordinación),Enlace a los T&C de plataforma (cláusula de subordinación). Suele ser el mismo de arriba.,{{URL_TC_PLATAFORMA}},url_tc_plataforma,https://legal.rappi.com/colombia/terminos-y-condiciones-de-uso-de-plataforma-rappi-2/,https://legal.rappi.com/mexico/terminos-y-condiciones-de-uso-de-plataforma-rappi-3/?_ga=2.233395806.1535468995.1751574748-1030705670.1749150746&_gl=1*1bqnxog*_gcl_au*MTY4MTUxOTc2MC4xNzQ5MTUwNzQ2*_ga*MTAzMDcwNTY3MC4xNzQ5MTUwNzQ2*_ga_FGJHX7E4KW*czE3NTE1NzQ3NDckbzIkZzAkdDE3NTE1NzQ3NTEkajU2JGwwJGgw,https://legal.rappi.com.co/peru/terminos-y-condiciones-rappi/,https://legal.rappi.com.co/argentina/terminos-y-condiciones-rappi-2/,https://legal.rappi.com/chile/terminos-y-condiciones-consumidores-rappi/?_gl=1*sna4r3*_gcl_aw*R0NMLjE3NzA2NDI5MDEuQ2p3S0NBaUFxS2JNQmhCbUVpd0FaM1Vib0YyNHdST3lmUEp3aTIybzlRWU1RSHl3elJsMHpRY3FESzNMV0N6RThjVmxhRGdWU0lwaFBob0NZNk1RQXZEX0J3RQ..*_gcl_au*MTk2OTE1NDYxMy4xNzY5NDU5ODk1*_ga*NjU4NDY2MDU3LjE3Njk0NTk4OTU.*_ga_FGJHX7E4KW*czE3NzA2NDI5MDAkbzQkZzEkdDE3NzA2NDI5MjIkajM4JGwwJGgw&_ga=2.225171610.1455052518.1770642900-658466057.1769459895&_gac=1.83517924.1770642900.CjwKCAiAqKbMBhBmEiwAZ3UboF24wROyfPJwi22o9QYMQHywzRl0zQcqDK3LWCzE8cVlaDgVSIphPhoCY6MQAvD_BwE,https://legal.rappi.com.co/ecuador/terminos-y-condiciones-ecuador/,https://legal.rappi.com.co/uruguay/terminos-y-condiciones-de-uso-de-plataforma-rappi/,https://legal.rappi.com.co/costa-rica/terminos-y-condiciones-rappi-3/,https://legal.rappi.com.co/brazil/termos-e-condicoes-de-uso-da-plataforma-rappi/
URL — Política de privacidad,Enlace a la política de tratamiento de datos personales del país.,{{URL_PRIVACIDAD}},url_privacidad,https://legal.rappi.com/colombia/politica-de-proteccion-y-tratamiento-de-datos-personales-rappi-s-a-s/,https://legal.rappi.com.co/mexico/aviso-de-privacidad-usuarios/,https://legal.rappi.com.co/peru/politica-de-privacidad-de-rappi-y-tratamiento-de-datos-personales/,https://legal.rappi.com.co/argentina/politica-de-privacidad-de-rappi/,https://legal.rappi.com.co/chile/politica-de-privacidad/,https://legal.rappi.com.co/ecuador/politica-de-privacidad-de-rappi-y-tratamiento-de-datos-persolanes/,https://legal.rappi.com.co/uruguay/aviso-de-privacidad/,https://legal.rappi.com.co/costa-rica/politica-de-privacidad-de-rappi-2/,https://legal.rappi.com.co/brazil/aviso-de-privacidade-e-politicas-de-uso-das-informacao-utilizadas-pela-rappi/
